Title,Author,Date & Location,Content
"""Is That A Letter?"" Nitish Kumar's Cutting Message For Aide Pavan Varma",Deepshikha Ghosh,"| Friday January 24, 2020, Patna","Bihar Chief Minister Nitish Kumar, after hitting out at close aide Pavan Varma over a letter criticizing him, made it clear today that he was not about to oblige the Janata Dal United (JDU) general secretary with a response. ""Is that a letter,"" Mr Kumar said caustically to reporters."
41 Million Affected In China Transport Ban Amid Virus Outbreak: 10 Points,Arun Nair,"| Friday January 24, 2020, New Delhi","China on Friday sealed off over 41 million people as it added 13 cities to a transport ban around the epicentre of a deadly virus that has claimed over 26 lives and infected over 800 others. The new virus that emerged in the central city of Wuhan has forced state authorities to cancel Lunar New Year celebrations to prevent the disease spreading further. Since emerging from a seafood and animal market in the central city of Wuhan, the virus has been detected in Scotland, Hong Kong and Singapore. Despite this, the World Health Organisation has said it was too early to declare the outbreak a global health emergency."
Curfew Imposed In Jharkhand's Lohardaga After Violence During Pro-Citizenship Law Rally,ANI,"| Friday January 24, 2020, Lohardaga","Lohardaga news: Violence erupted in Jharkhand's Lohardaga fter a march, supporting the Citizenship (Amendment) Act and National Population Register (NPR)."
Case Against Karnataka BJP MP In Kerala For 'No Water For Hindus' Tweet,Shylaja Varma,"| Friday January 24, 2020, Thiruvananthapuram",A case has been registered against Karnataka BJP MP Shobha Karandlaje and others by Kerala Police for a tweet alleging that Hindu families in the state's Malappuram district are not being given water because they supported the Citizenship (Amendment) Act or CAA.
"Davinder Singh, Adil Sheikh And Stolen Rifles: J&K Police's Big Question",Chandrashekar Srinivasan,"| Friday January 24, 2020, Srinagar","The arrest of Davinder Singh, a senior J&K cop caught transporting arms and Hizbul terrorists to Delhi, and the killing of Adil Bashir Sheikh, a former cop-turned-terrorist has forced authorities to ask tough questions"
Shanghai Disneyland Closes Over China Virus Concerns,Agence France-Presse,"| Friday January 24, 2020, Shanghai, China","Shanghai Disneyland will close until further notice this weekend due to a deadly virus outbreak that has infected hundreds of people in China, the amusement park said Friday."
"China Building 1,000-Bed Hospital Over The Weekend To Treat Coronavirus",Reuters,"| Friday January 24, 2020, Beijing","The Chinese city of Wuhan is rapidly building a new 1,000-bed hospital to treat victims of a new coronavirus, mobilising machinery to get it ready by early next week."
"Delhi Election 2020: Arvind Kejriwal, Rahul Gandhi Say The Same Things As Pakistan PM Imran Khan: Amit Shah",Press Trust of India,"| Friday January 24, 2020, New Delhi","Accusing Delhi Chief Minister Arvind Kejriwal of speaking Pakistan Prime Minister Imran Khan's language, Home Minister Amit Shah on Thursday claimed that the ruling Aam Aadmi Party was behind engineering riots in the city over the amended citizenship law and the national capital will be unsafe if they are voted back to power."
Election Body Asks Twitter To Remove BJP's Kapil Mishra's Communal Tweet,Nonika Marwaha,"| Friday January 24, 2020, New Delhi","The Election Commission today asked Twitter to remove a communal tweet by the BJP's Kapil Mishra, who is contesting the Delhi election. A tweet by Kapil Mishra criticising protests against the citizenship law in Delhi and referring to ""mini-Pakistans"" in the city is ""highly objectionable"" and ""appeals to communal feelings,"" the top election body has said in a letter to Twitter."
"Maharashtra Bandh Called By Prakash Ambedkar's Party Against Citizenship Law, Transport Unaffected",Richa Taneja,"| Friday January 24, 2020, Mumbai",Maharashtra Bandh: The police detained four workers of Vanchit Bahujan Aghadi who were attempting to disrupt the movement of vehicular traffic while protesting as part of Maharashtra bandh.
Indian Embassy In China Cancels Republic Day Event Amid Coronavirus Scare,Arun Nair,"| Friday January 24, 2020, New Delhi",The Indian Embassy in China hascancelled the Republic Day ceremony scheduled forJanuary 26 after state authorities cancelled public gathering and events in view of the coronavirus outbreak which has killed 25 people and infected over 800 others.
"""Sir..."": Arvind Kejriwal's Point-By-Point Reply To Amit Shah",Chandrashekar Srinivasan,"| Friday January 24, 2020, New Delhi","Chief Minister Arvind Kejriwal and Home Minister Amit Shah have clashed on social media ahead of next month's election, with Mr Kejriwal posting politely-worded jabs to Mr Shah's criticism of his government"
'No Global Emergency': WHO As China Locks Down Cities To Curb New Virus,Agence France-Presse,"| Friday January 24, 2020, Wuhan, China","China locked down some 20 million people at the epicentre of a deadly virus outbreak on Thursday, but the World Health Organization said the disease did not yet constitute a global health emergency."
"Delhi Election 2020: Aam Aadmi Party's Dig At BJP's Kapil Mishra Over ""India vs Pak"" Tweet",Abhishek Chakraborty,"| Friday January 24, 2020, New Delhi","Taking a dig at BJP leader Kapil Mishra for his tweet about a ""contest between India and Pakistan"" on February 8, Aam Aadmi Party's Rajya Sabha member Sanjay Singh on Thursday asked if the BJP's Model Town candidate had joined the BCCI."
"""Anti-National"" To Criticise Anupam Kher?: Shashi Tharoor To Ex-Governor",Shylaja Varma,"| Friday January 24, 2020, New Delhi","Congress MP Shashi Tharoor called out former Mizoram Governor Swaraj Kaushal for his Twitter diatribe on actor Naseeruddin Shah, in which he said Mr Shah married outside his religion and called him a ""disillusioned man""."
